OBJECTID,Station_ID,Feature_Origin,Notes,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Offset_Feature_Notes,GlobalID,CreationDate,Creator,EditDate,Editor,fault_az_min_L,fault_az_max_L,fault_dip_min_L,fault_dip_max_L,local_frac_az_min_L,local_frac_az_max_L,striations_observed_L,gouge_observed_L,vect_plunge_min_L,vect_plunge_max_L,vect_az_min_L,vect_az_max_L,horiz_az_min_L,horiz_az_max_L,_citation,_latitude,_longitude,_napa_photo_exists,_observed_feature,_orig_lat,_orig_lon,Net_Slip_Preffered_cm
585,39.0,Tectonic,Source: Napa 2014; 13-19 cm right-lateral. Fault about 355 degrees.,,RL,,,355,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:01,Dawson,,,,,,,,,,,,,,,,,,38.23198987,-122.3153994,Y,Soil,38.23197937,-122.3153992,13-19*
586,40.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:01,Dawson,,,,,,,,,,,,,,,,,,38.23224024,-122.3154823,Y,Soil,38.23224258,-122.3155136,
1340,41.0,Tectonic,Source: Napa 2014; 1.5-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.42 ft. along 350 bearing. Average fault strike was 345. Vertical component was 0.06 ft west-up. Slip measurement is a minimum value.,,RL,W,,345,,,>1.1,,,A,,,,,,,,,,,,,1.8,,,,,2014:09:16,Lutz,,,,,,,,,,,,,,,,,,38.23237888,-122.3155654,Y,Soil,38.23238373,-122.3155518,>12.7
1341,42.0,Tectonic,Source: Napa 2014; 5-m-wide zone of left-stepping en echelon transtensional fractures.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:02,Lutz,,,,,,,,,,,,,,,,,,38.23247957,-122.3155969,N,Soil,38.23248291,-122.3155823,
1342,43.0,Tectonic,Source: Napa 2014; 2-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.33 ft. along 350 bearing. Average fault strike was 345. Slip measurement is minimum value.,,RL,,,345,,,>0.9,,,A,,,,,,,,,,,,,,,,,,2014:09:16,Lutz,,,,,,,,,,,,,,,,,,38.23255015,-122.3156152,Y,Soil,38.23254776,-122.3155975,>10
1344,44.0,Tectonic,Source: Napa 2014; 2-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.42 ft. along 350 bearing. Average fault strike was 345. Slip measurement is minimum value.,,RL,,,345,,,>1.1,,,A,,,,,,,,,,,,,,,,,,2014:09:16,Lutz,,,,,,,,,,,,,,,,,,38.23261222,-122.3156166,Y,Soil,38.23261261,-122.3155975,>12.7
1343,45.0,Tectonic,Source: Napa 2014; 2-m-wide zone of left-stepping en echelon transtensional fractures: slip vector length was 0.42 ft. along 350 bearing. Average fault strike was 345. Slip measurement is minimum value.,,RL,,,345,,,>1.1,,,A,,,,,,,,,,,,,,,,,,2014:09:16,Lutz,,,,,,,,,,,,,,,,,,38.2327443,-122.3157115,Y,Soil,38.23274612,-122.3156967,>12.7
2160,46.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.23421316,-122.3164277,Y,Soil,38.23421097,-122.3164139,
682,47.0,Tectonic,Source: Napa 2014; Las Amigas Road looking north.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Delattre,,,,,,,,,,,,,,,,,,38.23423222,-122.3164232,Y,Pavement,38.23400116,-122.3170013,
1736,48.0,Tectonic,Source: Napa 2014; Site name: las_amigas - Measurement: None - Measurement azimuth: None - Feature azimuth: 20 - Displacement sense: None.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Morelan/Trexler,,,,,,,,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",38.23428344,-122.3164058,Y,Pavement,38.23427963,-122.3164673,
