OBJECTID,Station_ID,Feature_Origin,Notes,Confidence_Feature_ID,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Measurement_Confidence,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Measurement_Confidence,Slip_Offset_Feature_Notes,Diameter_m,Height_of_Material_m,Estimated_Max_VertMov_m,LQ_Area_Affected_sqm,Date_of_Movement,Displacement_Amount,Est_Direction_SM,Landslide_Feature,Slide_Type,Material_Type,Depth,SM_Area_Affected_sqm,Est_Max_Drop_Elev_ft,Length_Exposed_Downslope,Cause_of_Damage,Facility_Affected,Utility_Affected,Damage_Severity,GlobalID,CreationDate,Creator,EditDate,Editor,_citation,_comp_offset,_latitude,_longitude,_observed_feature,_orig_lat,_orig_lon,_photo,_trace
178,178,Tectonic,Source: Napa 2014; Evidence for after slip Highway 12 near Cuttings Wharf Road. Compiler note: Measurement estimated from photograph.,,,RL,,,,,,,,,,,,,,,,,,,,10*,,,,,,,,,,,,2014:08:25,,,,,,,,,,,,,,,59:56.2,Dawson,59:56.2,Napa_Migration,"Dawson, T., Kelson, K., Wesling, J., Hudnut, K. and Ponti, D., 2014, Surface fault rupture associated with the M 6.0 South Napa earthquake of August 24, 2014, in August 24, 2014 South Napa, California Earthquake, section 3: GEER Association Rept. No. GEER-037.",,38.25605564,-122.327254,Pavement,38.25618362,-122.32724,Y,A
179,179,Tectonic,Source: Napa 2014; nan,,,RL,,,,,,,,,,,,,,,,,,,,13*,,,,,,,,,,,,2014:08:26,,,,,,,,,,,,,,,59:56.2,Dawson,59:56.2,Napa_Migration,,,38.25605564,-122.327254,Pavement,38.2560463,-122.3272705,Y,A
180,180,Tectonic,Source: Napa 2014; Offset along highway.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:27,,,,,,,,,,,,,,,59:56.2,Hudnut,59:56.2,Napa_Migration,,,38.25605564,-122.327254,Pavement,38.25605392,-122.3272552,Y,A
181,181,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:28,,,,,,,,,,,,,,,59:56.2,Hudnut,59:56.2,Napa_Migration,,,38.25605564,-122.327254,Pavement,38.25641251,-122.3274918,Y,A
182,182,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:31,,,,,,,,,,,,,,,59:56.2,Ponti,59:56.2,Napa_Migration,,,38.25605564,-122.327254,Pavement,38.2561264,-122.32724,Y,A
183,183,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:09:04,,,,,,,,,,,,,,,59:56.3,Hudnut,59:56.3,Napa_Migration,,,38.25605564,-122.327254,Pavement,38.25650787,-122.3274765,Y,A
184,184,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:25,,,,,,,,,,,,,,,59:56.3,Dawson,59:56.3,Napa_Migration,,,38.25612988,-122.3272542,Pavement,38.2561264,-122.32724,Y,A
185,185,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:26,,,,,,,,,,,,,,,59:56.3,Wells,59:56.3,Napa_Migration,,,38.25612988,-122.3272542,Pavement,38.2561264,-122.3272629,Y,A
186,186,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:26,,,,,,,,,,,,,,,59:56.3,Dawson,59:56.3,Napa_Migration,,,38.25612988,-122.3272542,Pavement,38.2561264,-122.32724,Y,A
187,187,Tectonic,Source: Napa 2014; Extent of fracturing in highway. Offset along highway 12. Greatest afterslip here and south. Some vertical component; 5 cm vertical on patch.,,,,W,,,,,,,,,,,,,,,,,,,,,,5*,,,,,,,,,2014:08:27,,,,,,,,,,,,,,,59:56.3,Hudnut,59:56.3,Napa_Migration,,,38.25612988,-122.3272542,Pavement,38.25618,-122.32726,Y,A
188,188,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.3,Kelson,59:56.3,Napa_Migration,,,38.25618472,-122.3272543,Pavement,38.2560463,-122.3278503,Y,A
189,189,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.3,Kelson,59:56.3,Napa_Migration,"Dawson, T., Kelson, K., Wesling, J., Hudnut, K. and Ponti, D., 2014, Surface fault rupture associated with the M 6.0 South Napa earthquake of August 24, 2014, in August 24, 2014 South Napa, California Earthquake, section 3: GEER Association Rept. No. GEER-037.",,38.25618472,-122.3272543,Pavement,38.25613022,-122.3273697,Y,A
190,190,Tectonic,Source: Napa 2014; Rupture on Highway 12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.3,Dawson,59:56.3,Napa_Migration,,,38.25618472,-122.3272543,Pavement,38.25563049,-122.3269653,Y,A
191,191,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:26,,,,,,,,,,,,,,,59:56.4,Wells,59:56.4,Napa_Migration,,,38.25618472,-122.3272543,Pavement,38.2561264,-122.32724,Y,A
192,192,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:26,,,,,,,,,,,,,,,59:56.4,Haydon/Wiegers,59:56.4,Napa_Migration,,,38.25618472,-122.3272543,Pavement,38.25629807,-122.3272705,Y,A
193,193,Tectonic,Source: Napa 2014; Fresh hairline crack in concrete patch likely caused by afterslip.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:26,,,,,,,,,,,,,,,59:56.4,Dawson,59:56.4,Napa_Migration,,,38.25618472,-122.3272543,Pavement,38.25618362,-122.32724,Y,A
194,194,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:27,,,,,,,,,,,,,,,59:56.4,Dawson,59:56.4,Napa_Migration,,,38.25618472,-122.3272543,Pavement,38.25618362,-122.32724,Y,A
195,195,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:27,,,,,,,,,,,,,,,59:56.4,Hudnut,59:56.4,Napa_Migration,,,38.25618472,-122.3272543,Pavement,38.25618,-122.32726,Y,A
196,196,Tectonic,Source: Napa 2014; Offset along highway.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:28,,,,,,,,,,,,,,,59:56.4,Hudnut,59:56.4,Napa_Migration,,,38.25618472,-122.3272543,Pavement,38.2560463,-122.3272705,Y,A
197,197,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:24,,,,,,,,,,,,,,,59:56.4,Kelson,59:56.4,Napa_Migration,,,38.25624532,-122.3273383,Soil,38.25615311,-122.3272324,Y,A
